,round,MSE,MAE,MAPE (%),RMSE,runtime_sec,status,strategy,strategy_label
173,74,0.0006875601156010602,0.010010409271565457,12.68387412975914,0.026221367538728033,1.5974380999996356,ok,fill_zero,Fill with zero
174,75,0.0006432650933827556,0.00953261821695219,12.711432922904326,0.02536267125881569,1.8835357999996631,ok,fill_zero,Fill with zero
175,76,0.0007976716261552257,0.012325129610700189,12.140392550108768,0.028243081031559317,1.5322797000007995,ok,fill_zero,Fill with zero
176,77,0.0007421685544433297,0.01131165595203885,10.768442825867632,0.027242770682207228,1.8570261000004393,ok,fill_zero,Fill with zero
177,78,0.0007345653528744392,0.011590459792673152,12.086847832911701,0.027102866137632735,1.5169136999993498,ok,fill_zero,Fill with zero
178,79,0.0007479885989024417,0.01126360617815439,9.760854585192023,0.027349380228854213,1.5033214000013686,ok,fill_zero,Fill with zero
179,80,0.0007638949374221909,0.012088514755832187,12.591921681921715,0.027638649341496246,1.9754966000000422,ok,fill_zero,Fill with zero
180,81,0.0006772823579465817,0.009548885821060523,7.3805837009928625,0.02602464904559871,1.9884176999985357,ok,fill_zero,Fill with zero
181,82,0.0006790856368491181,0.009662946571832882,11.96524568505769,0.02605927161010296,1.7262677999988227,ok,fill_zero,Fill with zero
182,83,0.0008998915286213685,0.01575989072551482,11.48927960938514,0.029998192089213786,1.5472556999993685,ok,fill_zero,Fill with zero
183,84,0.0006353483390919404,0.007351570372857822,9.359698526007357,0.025206117096687866,1.871960800001034,ok,fill_zero,Fill with zero
184,85,0.0007728840522524701,0.012869824585988503,14.77304578905842,0.02780079229540896,1.5451555999989068,ok,fill_zero,Fill with zero
185,86,0.0007721794513671045,0.013006001763055303,14.942202471952045,0.02778811708927225,1.5532712000003812,ok,fill_zero,Fill with zero
186,87,0.0006965287718904805,0.010059156227318589,10.476377115894515,0.026391831537248046,1.9000516999985848,ok,fill_zero,Fill with zero
187,88,0.0008446163154738264,0.013900411054919714,10.59865099292785,0.029062283383688665,1.7665927999987616,ok,fill_zero,Fill with zero
188,89,0.0006640868525970135,0.009089397707450732,9.396143896572763,0.025769882665565506,1.9645032000007632,ok,fill_zero,Fill with zero
189,90,0.000732340278736128,0.011371601237155537,13.568383015588633,0.027061786318277808,1.7705386000016006,ok,fill_zero,Fill with zero
190,91,0.000840992963336387,0.0135409869017518,9.396470033834058,0.028999878677959792,1.6610723999983747,ok,fill_zero,Fill with zero
191,92,0.0007961354082788554,0.01273901617155594,11.770748010972712,0.028215871566883335,1.6872899000009056,ok,fill_zero,Fill with zero
192,93,0.0007206861035792422,0.01018463750651865,8.4243815393716,0.026845597471079726,1.5867455000006885,ok,fill_zero,Fill with zero
193,94,0.0009320494253769769,0.016406027099486218,10.68162789350863,0.030529484525241773,1.9877761999996437,ok,fill_zero,Fill with zero
194,95,0.0006775633813639186,0.008954727658835005,7.746028138106821,0.026030047663496866,2.079051499998968,ok,fill_zero,Fill with zero
195,96,0.0010412191172235051,0.017188391320478034,9.252037433369317,0.03226792706734514,1.7722341999997298,ok,fill_zero,Fill with zero
196,97,0.0007254639914014438,0.011530144969600692,8.869346871994988,0.02693443876158261,1.5333607999982632,ok,fill_zero,Fill with zero
197,98,0.0006573268938081444,0.009753185609120276,14.174865160023103,0.025638387114016052,2.07687900000019,ok,fill_zero,Fill with zero
198,99,0.0007117504503755818,0.010732785459181052,11.78439256243244,0.026678651584658132,1.6956248999995296,ok,fill_zero,Fill with zero
199,100,0.0007874144363178621,0.012845677798800612,13.099717106566294,0.02806090583566151,1.5692909000008513,ok,fill_zero,Fill with zero
0,1,0.0006056439660614769,0.010869577425637598,11.058699982173128,0.024609834742668975,1.893637900000158,ok,ffill,Forward fill
1,2,0.0005864032355266189,0.0045211939699173805,4.6278866511188,0.02421576419456175,1.8719577000001664,ok,ffill,Forward fill
2,3,0.000603289590159667,0.005857603366083957,5.605569173828679,0.024561954119321758,2.3118224999998347,ok,ffill,Forward fill
